PART_ID,Block number,Trial number,Button pressed,Reaction time,Correctness,Trial type,Stim color,Stim word,Training
123M26,0,1,x,2.2923760789999506,1,incongruent,green,niebieski,1
123M26,0,2,n,1.218100804999949,1,control,yellow,jasny,1
123M26,0,3,z,0.24145203100010804,0,control,green,szklany,1
123M26,0,4,m,0.3162280209999153,1,incongruent,red,zielony,1
123M26,0,5,no_key,-1.0,2,congruent,blue,niebieski,1
123M26,0,6,n,1.591991827000129,0,incongruent,blue,zolty,1
123M26,0,7,n,0.9110366919999251,1,congruent,yellow,zolty,1
123M26,0,8,x,1.4447240050001255,1,control,green,szklany,1
123M26,0,9,m,1.5182462010000108,1,congruent,red,czerwony,1
123M26,1,10,m,2.226843570000028,1,control,red,jasny,0
123M26,1,11,z,2.5017914649999966,0,control,green,szklany,0
123M26,1,12,n,1.6330870179999692,1,control,yellow,jasny,0
123M26,1,13,no_key,-1.0,2,incongruent,blue,zolty,0
123M26,1,14,m,1.248235553000086,1,incongruent,red,zolty,0
123M26,1,15,n,1.09833585399997,1,incongruent,yellow,zielony,0
123M26,1,16,m,1.310626233999983,1,congruent,red,czerwony,0
123M26,1,17,x,1.317809304000093,1,congruent,green,zielony,0
123M26,1,18,z,1.4023898499999632,1,congruent,blue,niebieski,0
123M26,1,19,no_key,-1.0,2,control,green,szklany,0
123M26,1,20,x,1.8112426549998872,1,incongruent,green,niebieski,0
123M26,1,21,m,1.0074169760000586,1,control,red,drewniany,0
123M26,1,22,x,2.9272584600000755,1,incongruent,green,zolty,0
123M26,1,23,z,1.2891859149999618,1,congruent,blue,niebieski,0
123M26,1,24,x,2.6047345080000923,1,congruent,green,zielony,0
123M26,2,25,z,1.9489337400000295,1,congruent,blue,niebieski,0
123M26,2,26,m,0.8559821119999924,1,congruent,red,czerwony,0
123M26,2,27,m,0.7716990290000467,1,congruent,red,czerwony,0
123M26,2,28,x,1.9705331519999163,1,control,green,jasny,0
123M26,2,29,x,1.7349250679999386,1,incongruent,green,czerwony,0
123M26,2,30,x,0.7762202730000354,1,control,green,jasny,0
123M26,2,31,n,1.6273734419999073,1,incongruent,yellow,zielony,0
123M26,2,32,z,1.4708890819999851,1,incongruent,blue,czerwony,0
123M26,2,33,m,1.2526840299999549,1,control,red,drewniany,0
123M26,2,34,m,0.9200932480000574,1,control,red,kwiatowy,0
123M26,2,35,z,2.4701384820000385,1,control,blue,szklany,0
123M26,2,36,z,0.8088362109999707,1,incongruent,blue,zielony,0
123M26,2,37,m,0.6647605550001572,1,congruent,red,czerwony,0
123M26,2,38,x,2.894790913999941,0,incongruent,blue,zielony,0
123M26,2,39,n,1.1008065369999258,1,congruent,yellow,zolty,0
